"","x"
"1",0.420831141504471
"2",0.552866912151499
"3",0.473961073119411
"4",0.385586533403472
"5",0.391372961599158
"6",0.552340873224619
"7",0.456075749605471
"8",0.427143608627038
"9",0.413466596528143
"10",0.391372961599158
"11",0.396107311941084
"12",0.442924776433456
"13",0.429247764334561
"14",0.458705944239874
"15",0.514992109416097
